Event Category,Keyword
Cold,chill
Cold,cold
Cold,freeze
Cold,frost
Cold,ice
Cold,winter
Debris,debris
Debris,debris
Dense,dense
Drought,drought
Dust,dust
Fire,fire
Fire,wildfire
Flood,flash
Flood,flood
Funnel,funnel
Hail,hail
Heat,heat
Hurricane,hurricane
Hurricane,typhoon
Lightning,lightning
Rain,rain
Sleet,sleet
Snow,avalance
Snow,blizzard
Snow,snow
Surf,surf
Tide,rip current
Tide,seiche
Tide,surge
Tide,tide
Tornado,tornado
Tropical,depression
Tropical,tropical
Tsunami,tsunami
Volcanic,ash
Volcanic,volcanic
Volcanic,volcano
Waterspout,waterspout
Wind,wind
